document,sentence
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachasqanchikta mat'ipasun Manaraq willachkaspa, imaraykun qura hampikunawan manaa hampikusqanchikta siq'iy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Kunanqa, imarayku qura hampikunawan manaa hampikusqanchik yachasqaykita qillqay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachaqmasiykikunaman, taytamamaykiman, imarayku qura hampikunawan manaa hampikusqanchikmanta qillqasqaykimanta siq'isqaykimantawan willay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imarayku qura hampiwan manaa hampikusqanchikmanta willakusun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachasqanchikmanta hamut'asun Rimaspa kutichiy: Ar Mana Allinchu, yachaqmasinchikman, taytamamanchikman qura hampikunawan manaa hampikusqanchikmanta willasqanchik?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Tiklla ayllupa qura hampikunamanta yachayninta riqsisun Yachananchikpaq allichakusun Patan qillqata awinchaspa tapukuykunaman kutichiy:  Imamantataq qillqa rimanman?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachasqanchikmanta hamut'asun Pitumarcapi qura hampi pallay Pitumarca llaqtapa ayllunkunapiqa, qura hampikuna pallayqa hatun yachaymi."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Kay ayllukunapiqa, sapa watanmi viernes santo p'unchawpi kuchka tutamanta uywakunata urquman qatinku tutapachisun nispa, chaypitaq qura hampikunata manaraq inti lluqsimuchkaptin pallanku."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Warmikunaqa manka, phuspuru, llamt'a apaykusqa purinku, urqupi qura hampikunata t'impuchispa lliw irqikunaman upyachinankupaq."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Kay ayllukunapiqa, qura hampi pallayqa, wawakunapaqmi kusikuy, paykunan kusisqa purinku qura t'impu upyaq, qura hampikuna pallaq, chaypin paykunaqa allinta tayta mamankumanta, awichankumanta imatapas yachanku."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,awinchayta tukuspa yachaqmasiykikunawan rimaspa tapukuykunaman kutichiy:  Ima llaqtamantan qillqasqapi rimasqa?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Aylluykiman imallapipas rikch'akunchu Pitumarcapi qura hampi pallay?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Pitumarca ayllunkunapi, aylluykipi qura hampi pallayta siq'ispa, imakunapin rikch'akun, imakunapitaqmi mana chayta willakuy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imapitaq rikch'akun Pitumarca ayllunkunapi qura hampi pallay aylluykiman?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imaraykutaq runakuna qura hampikunawan Yachananchikpaq Yachananchikpaq manaa hampikunchikchu?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Ayllu runakunaqa qura hampikunataqa sumaqta pallaspa llanthullapi ch'akichikpa unquykuna hampikunankupaq waqaychakunku.
